Id;Latitude;Longitude;Elevation;HeartRate;Cadence;TrackSegmentId;Power;Temperature;Time
4100;48,85525;2,237452;38,81089;155;0;15;0;0;2019-06-09 14:18:06.000
4101;48,85551;2,237462;38,83545;155;0;15;0;0;2019-06-09 14:18:02.000
4102;48,85577;2,237473;38,87051;154;0;15;0;0;2019-06-09 14:17:58.000
4103;48,8559;2,237475;38,87846;154;0;15;0;0;2019-06-09 14:17:56.000
4104;48,85624;2,237466;38,83841;154;0;15;0;0;2019-06-09 14:17:51.000
4105;48,85691;2,237356;37,72171;153;0;15;0;0;2019-06-09 14:17:41.000
4106;48,85718;2,237296;36,78444;153;0;15;0;0;2019-06-09 14:17:37.000
4107;48,85767;2,237179;35,30241;152;0;15;0;0;2019-06-09 14:17:30.000
4108;48,8578;2,237149;35,0072;152;0;15;0;0;2019-06-09 14:17:28.000
4109;48,85808;2,237082;34,29321;151;0;15;0;0;2019-06-09 14:17:24.000
4110;48,85816;2,237071;34,12634;151;0;15;0;0;2019-06-09 14:17:23.000
4111;48,85872;2,236955;33,23367;149;0;15;0;0;2019-06-09 14:17:15.000
4112;48,85886;2,236932;33,10859;148;0;15;0;0;2019-06-09 14:17:13.000
4113;48,85929;2,236886;32,8386;147;0;15;0;0;2019-06-09 14:17:07.000
4114;48,85959;2,236904;32,99281;146;0;15;0;0;2019-06-09 14:17:03.000
4115;48,85996;2,236972;33,56759;146;0;15;0;0;2019-06-09 14:16:58.000
4116;48,86393;2,233612;32,42743;146;0;15;0;0;2019-06-09 14:15:35.000
4117;48,86386;2,233284;33,41647;146;0;15;0;0;2019-06-09 14:15:32.000
4118;48,86383;2,233171;33,55556;146;0;15;0;0;2019-06-09 14:15:31.000
4119;48,8638;2,233042;33,67815;146;0;15;0;0;2019-06-09 14:15:30.000
4120;48,85478;2,22892;32,62624;140;0;15;0;0;2019-06-09 14:13:22.000
4121;48,85426;2,22917;31,45496;141;0;15;0;0;2019-06-09 14:13:15.000
4122;48,8541;2,229246;31,34785;141;0;15;0;0;2019-06-09 14:13:13.000
4123;48,85389;2,229399;31,98616;141;0;15;0;0;2019-06-09 14:13:10.000
4124;48,85347;2,22972;32,71792;140;0;15;0;0;2019-06-09 14:13:04.000
4125;48,8532;2,229978;32,99484;140;0;15;0;0;2019-06-09 14:13:00.000
4126;48,85293;2,230252;32,69785;139;0;15;0;0;2019-06-09 14:12:56.000
4127;48,85273;2,230484;32,41919;140;0;15;0;0;2019-06-09 14:12:53.000
4128;48,85255;2,230746;32,10505;139;0;15;0;0;2019-06-09 14:12:50.000
4129;48,85227;2,231349;31,42673;139;0;15;0;0;2019-06-09 14:12:44.000
4130;48,85208;2,231904;31,10627;139;0;15;0;0;2019-06-09 14:12:39.000
4131;48,85201;2,232132;31,05963;139;0;15;0;0;2019-06-09 14:12:37.000
4132;48,85191;2,23248;30,85622;140;0;15;0;0;2019-06-09 14:12:34.000
4133;48,85171;2,233321;32,82407;141;0;15;0;0;2019-06-09 14:12:27.000
4134;48,85164;2,2337;32,61243;141;0;15;0;0;2019-06-09 14:12:24.000
4135;48,85154;2,234357;32,61356;142;0;15;0;0;2019-06-09 14:12:19.000
4136;48,85152;2,234488;32,9523;142;0;15;0;0;2019-06-09 14:12:18.000
4137;48,85143;2,235297;34,38678;144;0;15;0;0;2019-06-09 14:12:12.000
4138;48,85141;2,23558;34,51477;145;0;15;0;0;2019-06-09 14:12:10.000
4139;48,85141;2,235707;34,57789;145;0;15;0;0;2019-06-09 14:12:09.000
4140;48,85141;2,236123;34,51656;146;0;15;0;0;2019-06-09 14:12:06.000
4141;48,85532;2,228746;33,61011;141;0;15;0;0;2019-06-09 14:13:29.000
4142;48,8517;2,236773;34,08979;148;0;15;0;0;2019-06-09 14:12:00.000
4143;48,85549;2,228713;33,98068;141;0;15;0;0;2019-06-09 14:13:31.000
4144;48,85625;2,228584;33,06174;143;0;15;0;0;2019-06-09 14:13:41.000
4145;48,86362;2,232511;33,68938;147;0;15;0;0;2019-06-09 14:15:25.000
4146;48,86333;2,231921;31,61404;147;0;15;0;0;2019-06-09 14:15:19.000
4147;48,86299;2,231407;32,15907;147;0;15;0;0;2019-06-09 14:15:13.000
4148;48,86269;2,231029;32,31192;147;0;15;0;0;2019-06-09 14:15:08.000
4149;48,86256;2,230905;32,15413;147;0;15;0;0;2019-06-09 14:15:06.000
4150;48,86242;2,230798;31,67516;148;0;15;0;0;2019-06-09 14:15:04.000
4151;48,86185;2,230494;29,88011;148;0;15;0;0;2019-06-09 14:14:56.000
